,ADES FRUTAL FAMILIAR,ADES FRUTAL INDIVIDUAL,ADES LÁCTEO FAMILIAR,ADES LÁCTEO INDIVIDUAL,CAFÉ BLAK INDIVIDUAL,CIEL AGUA PURIFICADA FAMILIAR,CIEL AGUA PURIFICADA INDIVIDUAL,CIEL EXPRIM INDIVIDUAL,CIEL MINERALIZADA FAMILIAR,CIEL MINERALIZADA INDIVIDUAL,CIEL MINI INDIVIDUAL,COCA-COLA CAFÉ INDIVIDUAL,COCA-COLA ENERGY INDIVIDUAL,COCA-COLA FAMILIAR,COCA-COLA INDIVIDUAL,COCA-COLA LIGHT FAMILIAR,COCA-COLA LIGHT INDIVIDUAL,COCA-COLA LIGHT SIN CAFEINA INDIVIDUAL,COCA-COLA SIN AZÚCAR FAMILIAR,COCA-COLA SIN AZÚCAR INDIVIDUAL,DEL VALLE FAMILIAR,DEL VALLE INDIVIDUAL,DEL VALLE RESERVA FAMILIAR,DEL VALLE RESERVA INDIVIDUAL,DEL VALLE Y NADA FAMILIAR,DEL VALLE Y NADA INDIVIDUAL,DELAWARE PUNCH INDIVIDUAL,FANTA FAMILIAR,FANTA INDIVIDUAL,FRESCA FAMILIAR,FRESCA INDIVIDUAL,FRUTSI INDIVIDUAL,FUZE TEA INDIVIDUAL,GLACÉAU INDIVIDUAL,ISOLITE INDIVIDUAL,JOYA FAMILIAR,JOYA INDIVIDUAL,MANZANA LIFT FAMILIAR,MANZANA LIFT INDIVIDUAL,MIXTOS FAMILIAR,MIXTOS INDIVIDUAL,MONSTER ENERGY INDIVIDUAL,POWERADE INDIVIDUAL,PULPY INDIVIDUAL,SANTA CLARA DESLACTOSADA FAMILIAR,SANTA CLARA DESLACTOSADA LIGHT FAMILIAR,SANTA CLARA ENTERA FAMILIAR,SANTA CLARA LIGHT FAMILIAR,SANTA CLARA SABORIZADA FAMILIAR,SANTA CLARA SABORIZADA INDIVIDUAL,SANTA CLARA SEMIDESCREMADA FAMILIAR,SENZAO INDIVIDUAL,SIDRAL MUNDET FAMILIAR,SIDRAL MUNDET INDIVIDUAL,SIERRAZUL AGUA PURIFICADA FAMILIAR,SPRITE FAMILIAR,SPRITE INDIVIDUAL,SPRITE SIN AZÚCAR FAMILIAR,SPRITE SIN AZÚCAR INDIVIDUAL,TOPO CHICO A.M. FAMILIAR,TOPO CHICO A.M. INDIVIDUAL,TOPO CHICO INDIVIDUAL,TOPO CHICO SANGRIA LIGHT INDIVIDUAL,TOPO CHICO SANGRÍA FAMILIAR,TOPO CHICO SANGRÍA INDIVIDUAL,VALLE FRUT FAMILIAR,VALLE FRUT INDIVIDUAL
GLACÉAU INDIVIDUAL,0,0,1,0,0,3,2,5,1,0,0,0,0,1,0,6,10,0,4,8,1,3,3,0,1,8,1,3,4,2,8,6,8,0,1,0,0,0,0,1,1,2,4,3,1,0,7,2,0,4,0,2,5,5,0,5,8,0,3,2,9,0,0,1,2,6,5
ISOLITE INDIVIDUAL,1,0,0,0,0,4,4,2,0,0,0,1,1,1,0,1,3,0,0,1,2,4,0,0,2,1,0,0,1,1,2,4,4,1,0,2,0,0,0,0,0,2,0,2,0,1,1,1,0,3,0,0,1,4,0,0,2,0,1,0,1,0,0,0,1,7,2
JOYA FAMILIAR,0,0,0,0,0,29,21,21,0,1,1,13,12,4,7,19,23,19,18,18,0,10,1,0,6,26,0,16,38,17,19,10,7,0,2,0,16,2,3,7,7,2,12,9,0,0,0,0,0,0,0,0,6,18,4,9,24,0,13,21,20,0,20,6,25,18,22
JOYA INDIVIDUAL,0,0,0,0,0,46,33,40,6,6,2,16,14,8,7,49,42,11,28,44,0,16,1,0,13,45,9,40,57,30,39,10,11,0,0,16,0,3,0,9,16,6,11,14,2,0,3,0,0,3,0,2,24,44,7,38,28,0,25,20,41,0,21,6,37,60,56
MANZANA LIFT FAMILIAR,0,0,0,0,0,2,3,2,0,0,0,0,0,0,0,1,4,2,3,4,0,0,0,0,0,1,0,2,4,3,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,4,0,1,0,3,0,4,3,5,3,0
MANZANA LIFT INDIVIDUAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0,1,0,0,0,0,0,1,0,1,2,3,2,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0
MIXTOS FAMILIAR,0,0,0,0,0,0,4,6,0,0,1,0,0,4,15,8,14,0,5,16,0,20,1,1,0,2,1,6,6,16,12,4,16,1,0,7,9,0,0,0,26,10,17,9,1,0,3,0,0,1,0,0,3,3,1,7,9,0,0,6,14,0,0,0,11,14,10
MIXTOS INDIVIDUAL,0,1,0,0,0,6,11,18,0,0,1,2,1,5,14,16,30,1,13,30,3,32,1,0,1,9,4,19,25,22,28,17,15,1,0,7,16,0,0,26,0,12,38,7,1,0,1,1,0,2,0,2,7,7,1,17,27,0,5,14,30,1,4,4,25,22,20
MONSTER ENERGY INDIVIDUAL,4,4,1,0,0,6,11,11,0,2,1,3,2,5,6,20,22,1,4,22,4,23,6,1,5,8,8,8,29,11,14,14,15,2,2,2,6,0,1,10,12,0,14,14,4,4,6,6,0,5,0,1,16,16,2,17,26,0,5,7,25,0,0,1,12,12,24
POWERADE INDIVIDUAL,0,2,1,0,0,7,16,13,0,3,4,0,1,19,16,24,34,0,13,37,3,33,9,0,2,11,5,21,32,24,21,14,20,4,0,12,11,0,0,17,38,14,0,13,2,1,4,3,0,6,0,3,16,15,5,23,25,0,1,15,42,0,0,3,24,25,36
PULPY INDIVIDUAL,1,1,2,0,0,4,6,13,1,0,1,3,1,1,5,11,24,0,7,16,8,19,7,1,4,17,3,10,11,8,6,11,16,3,2,9,14,0,0,9,7,14,13,0,2,1,5,2,0,7,0,1,17,17,2,10,15,0,6,11,23,1,2,7,20,19,19
SANTA CLARA DESLACTOSADA FAMILIAR,0,0,4,0,0,8,3,5,2,0,1,1,0,2,1,5,4,0,1,5,6,4,5,0,8,10,0,2,9,2,4,6,3,1,0,0,2,0,0,1,1,4,2,2,0,1,2,0,0,2,0,1,5,4,0,2,4,0,2,2,7,0,0,0,3,5,5
SANTA CLARA DESLACTOSADA LIGHT FAMILIAR,1,0,2,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,2,2,2,1,1,0,3,4,0,1,3,0,3,1,1,0,1,0,0,0,0,0,0,4,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,2,1,0,0,0,3,0,1
SANTA CLARA ENTERA FAMILIAR,3,0,3,0,0,8,1,3,4,0,1,1,0,0,3,4,9,0,1,11,6,9,5,1,4,15,3,9,4,2,9,6,9,7,1,0,3,0,0,3,1,6,4,5,2,0,0,3,0,5,0,0,1,6,0,4,3,0,3,5,8,0,0,1,5,5,9
SANTA CLARA LIGHT FAMILIAR,1,0,2,0,0,4,1,3,1,0,0,1,0,0,0,2,1,0,1,3,2,5,6,0,3,4,1,5,2,0,1,3,1,2,1,0,0,0,0,0,1,6,3,2,0,0,3,0,0,1,0,0,5,2,0,0,2,0,1,2,4,0,0,0,3,1,5
SANTA CLARA SABORIZADA FAMILIAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTA CLARA SABORIZADA INDIVIDUAL,3,1,2,0,0,9,2,8,0,1,0,1,1,0,2,4,12,1,2,8,3,4,5,1,8,11,1,3,7,4,5,7,6,4,3,0,3,0,0,1,2,5,6,7,2,1,5,1,0,0,0,2,5,14,0,1,8,0,5,5,5,0,1,2,9,4,10
SANTA CLARA SEMIDESCREMADA FAMILIAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SENZAO INDIVIDUAL,0,0,0,0,0,7,7,4,2,1,0,3,3,1,1,7,10,0,4,15,0,4,1,0,3,12,9,8,11,3,14,0,0,2,0,0,2,0,0,0,2,1,3,1,1,0,0,0,0,2,0,0,8,13,0,4,10,0,5,4,9,0,0,0,0,5,6
SIDRAL MUNDET FAMILIAR,3,0,1,0,0,42,39,76,7,5,0,54,25,7,4,66,59,8,55,61,7,12,7,1,30,66,22,51,90,37,80,9,19,5,1,6,24,0,1,3,7,16,16,17,5,1,1,5,0,5,0,8,0,75,3,43,72,3,26,45,55,0,2,7,42,56,65
SIDRAL MUNDET INDIVIDUAL,2,4,2,0,0,85,95,97,5,13,2,54,27,8,12,101,90,17,71,86,5,26,10,1,47,116,32,102,98,73,92,17,29,5,4,18,44,3,0,3,7,16,15,17,4,1,6,2,1,14,0,13,75,0,7,70,119,0,36,68,87,0,26,16,43,108,73
SIERRAZUL AGUA PURIFICADA FAMILIAR,0,0,0,0,0,5,5,3,0,0,0,0,2,3,1,3,5,3,7,6,0,1,0,0,2,11,0,6,9,2,8,2,1,0,0,4,7,0,0,1,1,2,5,2,0,0,0,0,0,0,0,0,3,7,0,4,6,0,1,6,6,0,5,2,10,8,4
SPRITE FAMILIAR,2,0,2,0,0,63,44,60,4,10,0,48,31,8,3,51,58,16,38,61,2,13,5,1,19,83,33,50,68,26,48,17,20,5,0,9,38,1,2,7,17,17,23,10,2,0,4,0,0,1,0,4,43,70,4,0,56,0,29,42,57,0,28,15,52,48,86
